name,host_name,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,beds,price,review_scores_rating
Rental unit in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 private bath,Simon,t,Hispanoamérica,Chamartín,40.45724,-3.67688,Habitación privada,2,1.0,$87.00,4.88
Rental unit in Madrid · ★4.58 · 1 bedroom · 1 bed · 1 bath,Abdel,f,Cármenes,Latina,40.40381,-3.7413,Habitación privada,1,1.0,$31.00,4.58
Rental unit in Madrid · ★4.90 · 6 bedrooms · 1 bed · 1 bath,Alvaro,f,Universidad,Centro,40.42183,-3.70529,Casa entera,3,1.0,$92.00,4.9
Rental unit in Madrid · ★4.58 · 2 bedrooms · 4 beds · 1 bath,Ana,f,Niño Jesús,Retiro,40.40988,-3.67503,Casa entera,5,4.0,$108.00,4.58
Rental unit in Madrid · ★4.63 · 1 bedroom · 2 beds · 1 bath,Dana,f,Sol,Centro,40.41476,-3.70418,Casa entera,2,2.0,$65.00,4.63
Rental unit in Madrid · ★4.55 · 1 bedroom · 1 bed · 1.5 shared baths,Bibiana,f,Sol,Centro,40.41676,-3.70682,Habitación privada,2,1.0,$49.00,4.55
Loft in Madrid · ★4.38 · 1 bedroom · 1 bed · 1 bath,Angela,f,Embajadores,Centro,40.41259,-3.70105,Casa entera,2,1.0,$54.00,4.38
Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,Olga,t,Palacio,Centro,40.41944,-3.70945,Casa entera,2,2.0,$88.00,4.88
Rental unit in Madrid · ★4.62 · 1 bedroom · 2 beds · 1 bath,Luis,f,Justicia,Centro,40.41969,-3.69736,Casa entera,4,2.0,$102.00,4.62
Rental unit in Madrid · ★4.40 · 1 bedroom · 2 beds · 1 bath,Henrique Manuel,f,Justicia,Centro,40.42166,-3.69615,Casa entera,4,2.0,$78.00,4.4
Rental unit in Madrid · ★4.65 · 1 bedroom · 3 beds · 1 bath,Dana,f,Universidad,Centro,40.42247,-3.70577,Casa entera,3,3.0,$90.00,4.65
Rental unit in Madrid · ★4.59 · 1 bedroom · 2 beds · 1.5 shared baths,Arturo,f,Justicia,Centro,40.41884,-3.69655,Habitación privada,3,2.0,$66.00,4.59
Rental unit in Madrid · ★4.66 · 1 bedroom · 1 bed · 1.5 shared baths,Margarita,f,Acacias,Arganzuela,40.40334,-3.70254,Habitación privada,2,1.0,$33.00,4.66
Rental unit in Madrid · ★4.29 · 1 bedroom · 1 bed · 1 bath,Raquel,f,Universidad,Centro,40.42252,-3.7025,Casa entera,2,1.0,$83.00,4.29
Loft in Madrid · ★4.48 · 1 bedroom · 1 bed · 1 bath,Laura,t,Embajadores,Centro,40.41115,-3.69673,Casa entera,2,1.0,$59.00,4.48
Rental unit in Madrid · ★4.33 · 1 bedroom · 2 beds · 1 bath,Raquel,f,Universidad,Centro,40.42252,-3.7025,Casa entera,2,2.0,$63.00,4.33
Rental unit in Madrid · ★4.76 · 1 bedroom · 3 beds · 1.5 baths,Maria Reyes Y Nuria,f,Palomeras Bajas,Puente de Vallecas,40.382123180881855,-3.654009849473269,Casa entera,2,3.0,$95.00,4.76
Rental unit in Madrid · ★4.60 · 1 bedroom · 2 beds · 1 bath,Juan,f,Embajadores,Centro,40.40864,-3.70884,Casa entera,4,2.0,$80.00,4.6
Rental unit in Madrid · ★4.86 · 1 bedroom · 2 beds · 1 bath,Daniel,f,Sol,Centro,40.41959,-3.70373,Casa entera,3,2.0,$119.00,4.86
Rental unit in Madrid · ★4.48 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Sol,Centro,40.41506,-3.7029,Casa entera,2,1.0,$120.00,4.48
Rental unit in Madrid · ★4.78 · 1 bedroom · 1 bed · 1 bath,Mercedes,f,Recoletos,Salamanca,40.42342,-3.68123,Casa entera,2,1.0,$63.00,4.78
Rental unit in Madrid · ★4.69 · 1 bedroom · 2 beds · 1 bath,Nuria,f,Universidad,Centro,40.42771,-3.71029,Casa entera,3,2.0,$66.00,4.69
Rental unit in Madrid · ★4.55 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Sol,Centro,40.4149,-3.70331,Casa entera,4,1.0,$117.00,4.55
Rental unit in Madrid · ★4.42 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Universidad,Centro,40.42552,-3.70589,Casa entera,3,1.0,$127.00,4.42
Rental unit in Madrid · ★4.68 · 1 bedroom · 1 bed · 1 bath,Felipe,f,Embajadores,Centro,40.40866,-3.70374,Casa entera,2,1.0,$80.00,4.68
Rental unit in Madrid · ★4.96 · 1 bedroom · 2 beds · 1.5 baths,Fernando,t,Lista,Salamanca,40.42978,-3.67817,Habitación privada,1,2.0,$28.00,4.96
Rental unit in Madrid · ★4.62 · Studio · 1 bed · 1 bath,Mad4Rent,f,Embajadores,Centro,40.41281,-3.70749,Casa entera,2,1.0,$103.00,4.62
Rental unit in Madrid · ★4.81 · 3 bedrooms · 3 beds · 1 bath,Vin,f,Embajadores,Centro,40.40939,-3.69812,Casa entera,5,3.0,$153.00,4.81
Loft in Madrid · ★4.81 · 2 bedrooms · 3 beds · 1 bath,Beatriz,f,Palacio,Centro,40.41358,-3.71353,Casa entera,6,3.0,$160.00,4.81
Rental unit in Madrid · ★4.64 · 1 bedroom · 1 bed · 1 bath,Alfonso,f,Embajadores,Centro,40.40827,-3.70049,Casa entera,2,1.0,$90.00,4.64
Rental unit in Madrid · ★4.51 · 3 bedrooms · 2 beds · 2 baths,Charo,f,Universidad,Centro,40.42378,-3.70248,Habitación privada,3,2.0,$36.00,4.51
Rental unit in Madrid · ★4.73 · Studio · 2 beds · 1.5 baths,Reyes,f,Embajadores,Centro,40.41155,-3.70146,Casa entera,3,2.0,$129.00,4.73
Rental unit in Madrid · ★4.67 · 1 bedroom · 1 bed · 1 bath,Diana,f,Valverde,Fuencarral - El Pardo,40.50044,-3.67032,Casa entera,2,1.0,$60.00,4.67
Condo in Madrid · ★4.82 · 2 bedrooms · 4 beds · 2 baths,Lola,t,Arapiles,Chamberí,40.43028,-3.70732,Casa entera,5,4.0,$113.00,4.82
Rental unit in Madrid · 1 bedroom · 1 bed · 1 shared bath,Carlos Alberto,f,Pueblo Nuevo,Ciudad Lineal,40.43422,-3.64196,Habitación privada,1,1.0,$21.00,
Rental unit in Madrid · ★5.0 · Studio · 2 beds · 1.5 baths,Reyes,f,Cortes,Centro,40.4135,-3.70145,Casa entera,3,2.0,$129.00,5.0
Rental unit in Madrid · ★4.59 · 2 bedrooms · 3 beds · 2 baths,Maria,f,Almagro,Chamberí,40.43815,-3.69764,Casa entera,4,3.0,$120.00,4.59
Rental unit in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 bath,Marina,t,Justicia,Centro,40.42849,-3.70183,Casa entera,2,1.0,$58.00,4.85
Rental unit in Madrid · ★4.59 · 1 bedroom · 2 beds · 1 bath,Maria,f,Rios Rosas,Chamberí,40.4382,-3.69389,Casa entera,4,2.0,$85.00,4.59
Rental unit in Madrid · ★4.78 · 1 bedroom · 2 beds · 1 shared bath,Ulises,t,Palacio,Centro,40.41143,-3.70912,Habitación privada,2,2.0,$35.00,4.78
casa particular in Madrid · ★4.69 · 1 bedroom · 1 bed · 1.5 baths,Alejandro,f,Almagro,Chamberí,40.434551,-3.698387,Habitación privada,1,1.0,$49.00,4.69
Rental unit in Madrid · ★4.67 · Studio · 2 beds · 1 bath,Ulises,t,Embajadores,Centro,40.41001,-3.70704,Casa entera,3,2.0,$58.00,4.67
Guest suite in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Agata,f,Comillas,Carabanchel,40.39032,-3.71382,Habitación privada,1,1.0,$30.00,5.0
Rental unit in Madrid · ★4.59 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Universidad,Centro,40.42548,-3.7042,Casa entera,4,1.0,$127.00,4.59
Rental unit in Madrid · ★4.76 · 1 bedroom · 1 bed · 1 bath,Jose Luis,f,Embajadores,Centro,40.41012,-3.69709,Habitación privada,1,1.0,$35.00,4.76
Rental unit in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,Cinthia,f,Los Angeles,Villaverde,40.35761,-3.69723,Habitación privada,1,1.0,$24.00,4.94
Rental unit in Madrid · ★4.80 · 1 bedroom · 1 bed · 1 bath,Eloisa,f,Embajadores,Centro,40.40570915677768,-3.701093325317844,Casa entera,2,1.0,$109.00,4.8
Rental unit in Madrid · ★4.56 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Sol,Centro,40.41592,-3.70177,Casa entera,2,1.0,$127.00,4.56
Loft in Madrid · ★4.75 · 1 bedroom · 2 beds · 1 bath,Sonia,f,Trafalgar,Chamberí,40.43765,-3.70408,Casa entera,4,2.0,$65.00,4.75
Chalet in Madrid · ★4.90 · 1 bedroom · 1 bed · 1 private bath,Consuelo,f,Piovera,Hortaleza,40.45575,-3.64912,Habitación privada,2,1.0,$70.00,4.9
Rental unit in Madrid · ★4.59 · Studio · 1 bed · 1 bath,Gabriel Avalos,t,Universidad,Centro,40.42855453491211,-3.7027840614318848,Casa entera,2,1.0,$117.00,4.59
Rental unit in Madrid · ★4.71 · 1 bedroom · 1 bed · 1 bath,Meyling,f,Palacio,Centro,40.41235,-3.70967,Casa entera,2,1.0,$89.00,4.71
Rental unit in Madrid · 2 bedrooms · 7 beds · 1 bath,Maite,f,Castellana,Salamanca,40.43201,-3.68358,Casa entera,7,7.0,$286.00,
Rental unit in Madrid · ★4.94 · 2 bedrooms · 4 beds · 1 bath,Jose Manuel,t,Palacio,Centro,40.40869,-3.71073,Casa entera,6,4.0,$165.00,4.94
Rental unit in Madrid · ★4.84 · 2 bedrooms · 2 beds · 2 baths,Alex,f,Cortes,Centro,40.4152,-3.69668,Casa entera,5,2.0,$200.00,4.84
Condo in Madrid · ★4.93 · Studio · 1 bed · 1 bath,Nuria,t,Universidad,Centro,40.42116,-3.70384,Casa entera,2,1.0,$89.00,4.93
Rental unit in Madrid · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,José,f,Embajadores,Centro,40.41126,-3.70347,Habitación privada,1,1.0,$32.00,4.81
Rental unit in Madrid · ★4.60 · 1 bedroom · 1 bed · 1.5 baths,Julio,f,Universidad,Centro,40.42123,-3.70133,Casa entera,2,1.0,$51.00,4.6
Rental unit in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,Jon,t,Canillas,Hortaleza,40.45959,-3.64699,Habitación privada,2,1.0,$65.00,4.94
Rental unit in Madrid · ★4.56 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Palacio,Centro,40.41941,-3.70823,Casa entera,2,1.0,$114.00,4.56
Rental unit in Madrid · ★4.84 · 2 bedrooms · 6 beds · 1 bath,Anouk,t,Sol,Centro,40.41538,-3.70741,Casa entera,8,6.0,$229.00,4.84
Rental unit in Madrid · ★4.75 · 1 bedroom · 2 beds · 1 bath,Rodrigo,t,Embajadores,Centro,40.41018,-3.70164,Casa entera,3,2.0,$76.00,4.75
Rental unit in Madrid · ★4.16 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Universidad,Centro,40.42359,-3.70537,Casa entera,4,1.0,$141.00,4.16
Rental unit in Madrid · ★4.53 · 3 bedrooms · 2 beds · 2 shared baths,Charo,f,Universidad,Centro,40.42377,-3.70241,Habitación privada,3,2.0,$32.00,4.53
Rental unit in Madrid · ★4.46 · 2 bedrooms · 5 beds · 2 baths,Davinia,f,Embajadores,Centro,40.4131,-3.70086,Casa entera,4,5.0,$89.00,4.46
Rental unit in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,Eva,f,Arapiles,Chamberí,40.43595,-3.70706,Habitación privada,1,1.0,$25.00,4.72
Rental unit in Madrid · ★4.56 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Sol,Centro,40.41628,-3.70364,Casa entera,2,1.0,$127.00,4.56
Rental unit in Madrid · ★4.28 · 1 bedroom · 2 beds · Half-bath,Sergio,f,Embajadores,Centro,40.4078,-3.70085,Casa entera,3,2.0,$69.00,4.28
Rental unit in Madrid · ★4.58 · 3 bedrooms · 8 beds · 1 bath,Anouk,t,Sol,Centro,40.41428,-3.70767,Casa entera,10,8.0,$96.00,4.58
Rental unit in Madrid  · ★4.40 · 1 bedroom · 1 bed · 2 shared baths,Jesús,f,Rosas,San Blas - Canillejas,40.43202,-3.60353,Habitación privada,2,1.0,$68.00,4.4
Rental unit in Madrid · ★4.45 · 1 bedroom · 1 bed · 1 bath,Mad4Rent,f,Trafalgar,Chamberí,40.43271,-3.70156,Casa entera,4,1.0,$127.00,4.45
Rental unit in Madrid · ★4.65 · 1 bedroom · 1 bed · 1 bath,Ignacio,t,Universidad,Centro,40.42885,-3.70479,Casa entera,2,1.0,$70.00,4.65
Rental unit in Madrid · ★4.91 · 2 bedrooms · 4 beds · 1 bath,Joël,t,Embajadores,Centro,40.41234,-3.70186,Casa entera,5,4.0,$127.00,4.91
Condo in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 bath,Azucena,t,Chopera,Arganzuela,40.39627,-3.69926,Casa entera,2,1.0,$88.00,4.85
Rental unit in Madrid · ★4.84 · 2 bedrooms · 1 bed · 1 shared bath,Elvira,t,Cortes,Centro,40.41155,-3.69492,Habitación privada,1,1.0,$60.00,4.84
Rental unit in Madrid · ★4.41 · 1 bedroom · 1 bed · 1 bath,Javier,f,Embajadores,Centro,40.40743,-3.70114,Casa entera,4,1.0,$91.00,4.41
Rental unit in Madrid · ★4.91 · 2 bedrooms · 3 beds · 1 bath,Nieves,t,Concepción,Ciudad Lineal,40.44117,-3.64841,Casa entera,4,3.0,$96.00,4.91
Rental unit in Madrid · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,Moises&Cristina + Little Sophie&Eli,t,Universidad,Centro,40.42323,-3.70434,Casa entera,2,2.0,$120.00,4.93
Loft in Madrid · ★4.69 · 4 bedrooms · 4 beds · 1.5 baths,Angela Y Jaime,t,Valdefuentes,Hortaleza,40.47189,-3.62966,Casa entera,4,4.0,$140.00,4.69
Rental unit in Madrid · ★5.0 · 1 bedroom · 3 beds · 2 shared baths,Ruben,t,Cortes,Centro,40.41412,-3.70057,Habitación compartida,1,3.0,$70.00,5.0
Loft in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 bath,Al,t,Universidad,Centro,40.42377853393555,-3.702780961990357,Casa entera,2,1.0,$137.00,4.91
Rental unit in Madrid · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,Abdel,f,Puerta del Angel,Latina,40.40445,-3.7398,Habitación privada,1,1.0,$31.00,4.79
Rental unit in Madrid · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,Marina Y Danna,f,Arcos,San Blas - Canillejas,40.426699,-3.616304,Habitación privada,2,1.0,$47.00,4.76
Loft in Madrid · ★4.76 · 2 bedrooms · 3 beds · 1 bath,Angela Y Jaime,t,Valdefuentes,Hortaleza,40.47142,-3.62881,Casa entera,3,3.0,$120.00,4.76
Rental unit in Madrid · ★4.45 · 1 bedroom · 1 bed · 2 shared baths,Marina Y Danna,f,Arcos,San Blas - Canillejas,40.42654,-3.615916,Habitación privada,2,1.0,$41.00,4.45
Rental unit in Madrid · ★4.75 · 1 bedroom · 3 beds · 1 bath,Jose Antonio,f,Embajadores,Centro,40.412682,-3.702548,Casa entera,4,3.0,$117.00,4.75
Rental unit in Madrid · 1 bedroom · 1 bed · 1 shared bath,Elena,f,Hispanoamérica,Chamartín,40.45591,-3.68773,Habitación privada,1,1.0,$30.00,
Rental unit in Madrid · ★4.73 · 1 bedroom · 1 bed · 1 bath,Enrique,f,Embajadores,Centro,40.4093,-3.70884,Casa entera,3,1.0,$103.00,4.73
Rental unit in Madrid · ★4.68 · 2 bedrooms · 2 beds · 1.5 baths,Xuan,f,Palacio,Centro,40.41152,-3.70991,Casa entera,5,2.0,$134.00,4.68
Serviced apartment in Madrid · ★4.76 · 1 bedroom · 2 beds · 1 bath,Gabriel Avalos,t,Universidad,Centro,40.42457,-3.70802,Casa entera,4,2.0,$146.00,4.76
Rental unit in Madrid · ★4.51 · 1 bedroom · 2 beds · 1 bath,Pe,f,Palacio,Centro,40.41685,-3.70882,Casa entera,4,2.0,$141.00,4.51
Rental unit in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 private bath,Angel,t,Embajadores,Centro,40.41327,-3.70223,Habitación privada,2,1.0,$80.00,4.91
Rental unit in Madrid · ★5.0 · 1 bedroom · 2 beds · 1 bath,Juanpe,f,Universidad,Centro,40.42683,-3.71108,Habitación privada,1,2.0,$30.00,5.0
Rental unit in Madrid · 1 bedroom · 1 bed · 1 shared bath,David,f,Pacífico,Retiro,40.4057,-3.67605,Habitación privada,1,1.0,$19.00,5.0
Rental unit in Madrid · ★4.46 · 1 bedroom · 2 beds · 1 shared bath,Myrko,f,Cortes,Centro,40.41758,-3.69631,Habitación privada,6,2.0,$120.00,4.46
Rental unit in Madrid · ★4.71 · 2 bedrooms · 4 beds · 1 bath,Óscar,,Sol,Centro,40.41604,-3.70834,Casa entera,5,4.0,$109.00,4.71
Rental unit in Madrid · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,David,t,Universidad,Centro,40.42286,-3.70236,Habitación privada,2,1.0,$41.00,4.9
Home in Madrid · ★3.0 · 5 bedrooms · 9 beds,Javier,f,Delicias,Arganzuela,40.39317,-3.69358,Casa entera,10,9.0,$70.00,3.0
Rental unit in Madrid · ★4.56 · 1 bedroom · 3 beds · 1 shared bath,Isdel Pablo,f,Justicia,Centro,40.42226,-3.69959,Habitación privada,2,3.0,$50.00,4.56
Rental unit in Madrid · ★4.45 · 1 bedroom · 1 bed · 1 bath,Ana,f,Embajadores,Centro,40.40954,-3.70096,Casa entera,3,1.0,$62.00,4.45
Rental unit in Madrid · ★4.46 · 1 bedroom · 1 bed · 1 shared bath,Isdel Pablo,f,Justicia,Centro,40.42226,-3.69959,Habitación privada,1,1.0,$41.00,4.46
casa particular in Madrid · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,Rocio,t,Hispanoamérica,Chamartín,40.45841,-3.67598,Habitación privada,1,1.0,$31.00,4.77
Rental unit in Madrid · ★4.25 · 1 bedroom · 2 beds · 1 bath,Jaime,f,Cortes,Centro,40.41414,-3.69419,Casa entera,4,2.0,$200.00,4.25
Rental unit in Madrid · ★4.65 · 2 bedrooms · 4 beds · 1 bath,Paloma,t,Embajadores,Centro,40.40908,-3.69514,Casa entera,6,4.0,$85.00,4.65
Rental unit in Madrid · ★4.78 · 4 bedrooms · 4 beds · 2 baths,Jesús,f,Delicias,Arganzuela,40.39516,-3.69309,Casa entera,6,4.0,$125.00,4.78
Rental unit in Madrid · ★4.61 · 2 bedrooms · 3 beds · 1 bath,Helena,f,Justicia,Centro,40.42242,-3.69562,Casa entera,5,3.0,$90.00,4.61
Rental unit in Madrid · ★4.94 · 2 bedrooms · 3 beds · 1 bath,Sylvia,f,Ibiza,Retiro,40.419,-3.67774,Casa entera,4,3.0,$99.00,4.94
Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,Pau&Patricia,t,Universidad,Centro,40.42838,-3.70345,Casa entera,4,2.0,$65.00,4.88
Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,Cesar,t,Cortes,Centro,40.41285,-3.69553,Casa entera,4,2.0,$88.00,4.88
Rental unit in Madrid · ★4.68 · 1 bedroom · 1 bed · 1 bath,Miguel Angel & Iaia,f,Embajadores,Centro,40.41037,-3.70018,Casa entera,2,1.0,$51.00,4.68
Rental unit in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,Belén,t,Cortes,Centro,40.41309,-3.69775,Habitación privada,2,1.0,$50.00,4.85
Rental unit in Madrid · ★4.78 · 1 bedroom · 2 beds · 1 bath,Elena,f,Embajadores,Centro,40.41015,-3.69797,Casa entera,3,2.0,$106.00,4.78
Rental unit in Madrid · ★4.39 · 3 bedrooms · 4 beds · 1.5 baths,The Punset Family,f,Almenara,Tetuán,40.47148,-3.68946,Casa entera,6,4.0,$117.00,4.39
Rental unit in Madrid · ★4.61 · 3 bedrooms · 4 beds · 2 baths,Maribel,f,Goya,Salamanca,40.42274,-3.66972,Casa entera,5,4.0,$160.00,4.61
Rental unit in Madrid · ★4.41 · 3 bedrooms · 3 beds · 2.5 baths,The Punset Family,f,Fuente del Berro,Salamanca,40.42881,-3.66605,Casa entera,6,3.0,$124.00,4.41
